Timestamp,"Have you heard of Sparks Bristol, on Broadmead?","If yes, how did you hear about it, and what did you do there?",Would you go to as workshop or event there?,"If no, why not?",How often do you go to Broadmead/Cabot circus?,Which of the following would convince you to spend more time in the city centre  [A wider variety of cafes and restaurants],Which of the following would convince you to spend more time in the city centre  [More cultural events and festivals],Which of the following would convince you to spend more time in the city centre  [Increased green spaces and outdoor seating],Which of the following would convince you to spend more time in the city centre  [Better public transportation options],Which of the following would convince you to spend more time in the city centre  [More community-focused activities and workshops],Which of the following would convince you to spend more time in the city centre  [More spaces for local artists and creatives],Which of the following would convince you to spend more time in the city centre  [Improved accessibility for pedestrians and cyclists],Which of the following would convince you to spend more time in the city centre  [Other],"What types of activities, shops, or experiences would you like to see more of in Bristol’s city centre?",What would be useful to you to have in a community space in Broadmead?,How much do you value environmentally friendly products when you are shopping?,How concerned are you about climate change?,How often do you participate in creative or cultural activities?,Do you feel that you have sufficient opportunities to express your creativity artistically?,"To what extent do you agree with the following statement?
Having the opportunity to be creative positively improves my physical and mental well-being.",Are you likely to visit Sparks in the future?,"If no, why not?",How old are you?,How would you describe your gender?,What is your ethnicity?,Do you have a disability?,What is the start of your postcode?
16/10/2024 14:32:00,"Yes, and I've been",,Yes,,More often,2,3,3,4,3,4,4,,Charity shops,,4,4,Once a week,"Yes, I have plenty of opportunities",Agree,"Yes, and I've been",,18-25,Male,White British,No,BS1
16/10/2024 14:40:18,No,,Yes,,Around once a year,2,3,4,,2,4,3,,Comfortable spaces,Quiet zones,4,5,Once a month,"Yes, but I wish there were more opportunities",Strongly Agree,Yes,,46-60,Female,Pakistani,No,
16/10/2024 14:46:22,"Yes, but I've not been",,Yes,,Around once a month,4,3,4,4,3,4,4,,Not sure,Comfortable spaces and toilets,5,5,Once a week,"Yes, but I wish there were more opportunities",Strongly Agree,Yes,,18-25,Female,Brutish ,No,CF24
16/10/2024 14:48:07,"Yes, and I've been",Just saw it,Yes,Just moved here ,More often,5 - most important,4,4,3,3,4,3,,Not sure,E etything need is here,3,3,Once a month,"Yes, I have plenty of opportunities",Agree,"Yes, and I've been",,18-25,Male,Filipino ,No,BS1
16/10/2024 14:50:30,No,,No,,Around once a year,2,2,3,4,3,3,4,,I don't know,Library space,4,5,Once a month,"No, I have limited opportunities",Disagree,Yes,,18-25,Female,White,No,Bs4
16/10/2024 14:53:42,No,,Yes,,Around once a year,4,3,4,5 - most important,5 - most important,5 - most important,3,,Everything's great,"Helps people, yes",5,5,Several times a week,"No, I have limited opportunities",Strongly Agree,Yes,,18-25,Female,,No,
16/10/2024 15:08:19,"Yes, and I've been",,"Yes, and I have before",,Around once a month,4,3,4,3,4,4,4,,More free/cheap music events,Work spaces,5,5,Once a week,"Yes, but I wish there were more opportunities",Strongly Agree,"Yes, and I've been",,18-25,Male,Black,Yes,Bs32
16/10/2024 15:09:53,"Yes, and I've been",Through a friend ,Yes,,Around once a month,2,3,4,5 - most important,3,2,3,,Green spaces ,Parks,4,5,Less than once a month,"Yes, but I wish there were more opportunities",Agree,"Yes, and I've been",,18-25,Female,Whirw British ,No,BS3
16/10/2024 15:17:16,"Yes, and I've been",Walking past,No,,More often,3,5 - most important,5 - most important,3,2,3,5 - most important,,I don't know,"Working spaces, study spots",5,5,Less than once a month,"Yes, but I wish there were more opportunities",Agree,"Yes, and I've been",,18-25,Female,White,No,ba14
16/10/2024 15:18:51,No,,Yes,,Around once a year,4,4,3,4,3,5 - most important,,2,A more thriving arts scene,"Space for trans people, female only spaces",5,5,Once a month,"Yes, I have plenty of opportunities",Strongly Agree,"Yes, and I've been",,18-25,Fluid,Indian,No,Cv3
